Date,Recip_County,Recip_State,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Metro_status
2022-03-10,Wright County,MN,57.4,54.5,Metro
2022-03-10,Sherburne County,MN,49.2,45.7,Metro
2022-03-10,Dunklin County,MO,43.5,36.8,Non-metro
2022-03-10,Mercer County,OH,40.2,38,Non-metro
2022-03-10,Williams County,ND,36.3,29.8,Non-metro
2022-03-10,Red Lake County,MN,60.9,56.1,Non-metro
2022-03-10,Jackson County,MO,69.6,56.4,Metro
2022-03-10,Cerro Gordo County,IA,67.8,62.7,Non-metro
2022-03-10,Anoka County,MN,62.5,58.8,Metro
2022-03-10,Sedgwick County,KS,66,53.5,Metro
2022-03-10,Osceola County,MI,42.5,41.8,Non-metro
2022-03-10,Unknown County,SD,0,0,NA
2022-03-10,Franklin County,NE,0,38.4,Non-metro
2022-03-10,Jefferson County,IL,52.1,46.6,Non-metro
2022-03-10,Randolph County,IN,50.8,45,Non-metro
2022-03-10,Cherokee County,KS,53.9,45.3,Non-metro
2022-03-10,Vilas County,WI,72.2,65.3,Non-metro
2022-03-10,Ohio County,IN,82,74.9,Metro
2022-03-10,Fulton County,IL,62,57.5,Non-metro
2022-03-10,Adams County,NE,0,41.8,Non-metro
2022-03-10,Randolph County,IL,57.4,52.4,Non-metro
2022-03-10,Crawford County,KS,52.8,46.7,Non-metro
2022-03-10,Allen County,KS,52,45.8,Non-metro
2022-03-10,Cass County,NE,66.5,61.1,Metro
2022-03-10,Morgan County,IL,59,54.4,Non-metro
2022-03-10,Knox County,MO,43.4,39.2,Non-metro
2022-03-10,Scott County,IA,71,60.2,Metro
2022-03-10,Grundy County,IA,65.3,61.7,Metro
2022-03-10,Lawrence County,IL,47.2,40.7,Non-metro
2022-03-10,Ripley County,IN,52.7,47.8,Non-metro
2022-03-10,Faulk County,SD,61.9,54.6,Non-metro
2022-03-10,Wayne County,OH,47.7,45.3,Non-metro
2022-03-10,Wadena County,MN,53,49.5,Non-metro
2022-03-10,Callaway County,MO,53.8,46.9,Metro
2022-03-10,Itasca County,MN,60.1,56.2,Non-metro
2022-03-10,Decatur County,IN,52.3,47.8,Non-metro
2022-03-10,Franklin County,OH,67.8,63.7,Metro
2022-03-10,Marshall County,IN,49.3,44.3,Non-metro
2022-03-10,Codington County,SD,65.5,54.2,Non-metro
2022-03-10,Lafayette County,WI,64.7,59.9,Non-metro
2022-03-10,St. Croix County,WI,57.3,49.8,Metro
2022-03-10,Washington County,KS,58.3,53.7,Non-metro
2022-03-10,Linn County,MO,53.6,45.6,Non-metro
2022-03-10,Poweshiek County,IA,64.7,58.2,Non-metro
2022-03-10,Pennington County,SD,72.8,57,Metro
2022-03-10,Wabaunsee County,KS,51.3,47.3,Metro
2022-03-10,Jasper County,IA,62.5,58.1,Non-metro
2022-03-10,Deuel County,NE,0,34.4,Non-metro
2022-03-10,Butler County,IA,60.4,57,Non-metro
2022-03-10,Washington County,MO,37.1,31.5,Non-metro
2022-03-10,Door County,WI,84.1,77.7,Non-metro
2022-03-10,Lawrence County,OH,58.9,48.7,Metro
2022-03-10,Belmont County,OH,53.7,47.7,Metro
2022-03-10,Webster County,NE,0,38.3,Non-metro
2022-03-10,Johnson County,IN,65.8,58,Metro
2022-03-10,Price County,WI,65.5,61.8,Non-metro
2022-03-10,Palo Alto County,IA,54,50.5,Non-metro
2022-03-10,Russell County,KS,47.7,42.7,Non-metro
2022-03-10,Nodaway County,MO,54.4,48.7,Non-metro
2022-03-10,Lake County,IN,63.5,55.9,Metro
2022-03-10,Cedar County,MO,35.8,31.8,Non-metro
2022-03-10,Lapeer County,MI,49.1,47.3,Metro
2022-03-10,Nuckolls County,NE,49.7,49.6,Non-metro
2022-03-10,Hanson County,SD,55,42.5,Non-metro
2022-03-10,Adair County,MO,51.7,44.5,Non-metro
2022-03-10,Morton County,KS,47.3,41.5,Non-metro
2022-03-10,Chippewa County,MI,74.2,69.4,Non-metro
2022-03-10,Lee County,IA,56,50.6,Non-metro
2022-03-10,Cloud County,KS,53.5,47.4,Non-metro
2022-03-10,Howell County,MO,38.5,32.9,Non-metro
2022-03-10,Clinton County,MO,55.4,46.9,Metro
2022-03-10,Lincoln County,MN,55.6,52.8,Non-metro
2022-03-10,Pike County,IL,44.3,40.8,Non-metro
2022-03-10,Kearney County,NE,46.9,46.7,Non-metro
2022-03-10,Adams County,IL,56.7,52,Non-metro
2022-03-10,Pawnee County,NE,43.7,43.1,Non-metro
2022-03-10,Sherman County,KS,48.2,43.9,Non-metro
2022-03-10,Platte County,NE,0,46.5,Non-metro
2022-03-10,Dodge County,MN,62.6,60.2,Metro
2022-03-10,Butler County,NE,51.4,51,Non-metro
2022-03-10,Madison County,OH,53.1,50.6,Metro
2022-03-10,Lac qui Parle County,MN,61,58.4,Non-metro
2022-03-10,Lyon County,IA,46.5,41,Non-metro
2022-03-10,DeKalb County,IL,61.4,56.3,Metro
2022-03-10,Hooker County,NE,42.2,41.9,Non-metro
2022-03-10,Ziebach County,SD,39.2,32.9,Non-metro
2022-03-10,Oakland County,MI,69.2,66,Metro
2022-03-10,Cooper County,MO,50.2,44.1,Non-metro
2022-03-10,Douglas County,NE,71.5,65.6,Metro
2022-03-10,Pembina County,ND,64.3,55.3,Non-metro
2022-03-10,Sauk County,WI,67.7,63.1,Non-metro
2022-03-10,Allen County,IN,57.7,51.9,Metro
2022-03-10,Otter Tail County,MN,55,50.4,Non-metro
2022-03-10,Williamson County,IL,60.5,55,Metro
2022-03-10,Jones County,SD,95,72.5,Non-metro
2022-03-10,Forest County,WI,67.4,59.8,Non-metro
2022-03-10,Kossuth County,IA,55.5,51.6,Non-metro
2022-03-10,Massac County,IL,46.4,40.8,Non-metro
2022-03-10,Kosciusko County,IN,44.8,40.3,Non-metro
2022-03-10,Knox County,OH,45.4,42.7,Non-metro
2022-03-10,Scott County,MN,73.7,69.1,Metro
2022-03-10,Brown County,SD,66.5,56.1,Non-metro
2022-03-10,Lenawee County,MI,55.6,52.6,Non-metro
2022-03-10,Cavalier County,ND,65.7,59.7,Non-metro
2022-03-10,Clark County,IN,68.9,59.7,Metro
2022-03-10,Fulton County,OH,55.1,52.1,Metro
2022-03-10,Washington County,WI,61.6,57.3,Metro
2022-03-10,Cumberland County,IL,42.2,38.9,Non-metro
2022-03-10,Gogebic County,MI,67.7,62.8,Non-metro
2022-03-10,Des Moines County,IA,55.9,51.2,Non-metro
2022-03-10,Wapello County,IA,53.2,49.3,Non-metro
2022-03-10,Unknown County,MO,0,0,NA
2022-03-10,Audubon County,IA,60.4,58,Non-metro
2022-03-10,Floyd County,IN,63.2,56.2,Metro
2022-03-10,Burt County,NE,0,58.3,Non-metro
2022-03-10,Bottineau County,ND,57.6,49.8,Non-metro
2022-03-10,Clermont County,OH,60.1,56.4,Metro
2022-03-10,Douglas County,KS,80.3,60.8,Metro
2022-03-10,Clinton County,IL,65.5,59.2,Metro
2022-03-10,Champaign County,IL,72.1,64.7,Metro
2022-03-10,Le Sueur County,MN,51.8,48.8,Metro
2022-03-10,Vernon County,MO,39.8,34.7,Non-metro
2022-03-10,Keya Paha County,NE,30.9,27.9,Non-metro
2022-03-10,Roseau County,MN,55.3,51.1,Non-metro
2022-03-10,Bartholomew County,IN,66,59.1,Metro
2022-03-10,Edgar County,IL,53.8,48.1,Non-metro
2022-03-10,Lake County,MI,64.7,62.2,Non-metro
2022-03-10,Dickey County,ND,57.7,52.5,Non-metro
2022-03-10,Traill County,ND,61.2,53.6,Non-metro
2022-03-10,Butte County,SD,47.2,39.5,Non-metro
2022-03-10,Whiteside County,IL,64,57.6,Non-metro
2022-03-10,Lucas County,IA,48,44.9,Non-metro
2022-03-10,Spencer County,IN,48.8,44,Non-metro
2022-03-10,St. Charles County,MO,69.4,60.7,Metro
2022-03-10,Black Hawk County,IA,64.7,59.6,Metro
2022-03-10,Steele County,MN,63.9,60.5,Non-metro
2022-03-10,Scott County,MO,49.3,43.2,Non-metro
2022-03-10,Oscoda County,MI,44.9,41.8,Non-metro
2022-03-10,Luce County,MI,47.2,44.3,Non-metro
2022-03-10,Howard County,IN,51.9,46.9,Metro
2022-03-10,Miner County,SD,64,54.3,Non-metro
2022-03-10,Keith County,NE,0,37.5,Non-metro
2022-03-10,Woodford County,IL,57.7,54.4,Metro
2022-03-10,Logan County,IL,58,53.9,Non-metro
2022-03-10,Berrien County,MI,60.7,55.4,Metro
2022-03-10,Keokuk County,IA,49.6,46.2,Non-metro
2022-03-10,Clay County,MN,74.7,58.8,Metro
2022-03-10,Piatt County,IL,66.4,61.8,Metro
2022-03-10,Edwards County,KS,52.1,48.1,Non-metro
2022-03-10,Union County,IL,62.1,56.4,Non-metro
2022-03-10,Cass County,IL,66.7,61.3,Non-metro
2022-03-10,Knox County,NE,49.5,48.8,Non-metro
2022-03-10,Coshocton County,OH,40.7,38.5,Non-metro
2022-03-10,Hendricks County,IN,78.9,71.3,Metro
2022-03-10,Jackson County,MN,55,50.7,Non-metro
2022-03-10,Shelby County,IL,44.5,41.8,Non-metro
2022-03-10,Pulaski County,IL,49.3,42,Non-metro
2022-03-10,Logan County,KS,51.4,46.7,Non-metro
2022-03-10,Boone County,IA,68.8,64.2,Non-metro
2022-03-10,Norton County,KS,53.8,52.3,Non-metro
2022-03-10,Geary County,KS,95,88.6,Non-metro
